                               Game of the Rope - Description of the internal state

Game 1
Ref Coa 1 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5 Coa 2 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5       Trial        
Sta  Stat Sta SG Sta SG Sta SG Sta SG Sta SG  Stat Sta SG Sta SG Sta SG Sta SG Sta SG 3 2 1 . 1 2 3 NB PS
001  #### ### ## ### ## ### ## ### ## ### ##  #### ### ## ### ## ### ## ### ## ### ## # # # . # # # ## ##
002  #### ### ## ### ## ### ## ### ## ### ##  #### ### ## ### ## ### ## ### ## ### ## # # # . # # # ## ##
003  #### ### ## ### ## ### ## ### ## ### ##  #### ### ## ### ## ### ## ### ## ### ## # # # . # # #  1 ##
003  #### 001  5 ### ## ### ## ### ## ### ##  #### ### ## ### ## ### ## ### ## ### ## # # # . # # #  1 ##
003   001 001  5 ### ## ### ## ### ## ### ##  #### ### ## ### ## ### ## ### ## ### ## # # # . # # #  1 ##
003   001 001  5 001  5 ### ## ### ## ### ##  #### ### ## ### ## ### ## ### ## ### ## # # # . # # #  1 ##
003   001 001  5 001  5 ### ## ### ## ### ##   001 ### ## ### ## ### ## ### ## ### ## # # # . # # #  1 ##
003   001 001  5 001  5 001  5 ### ## ### ##   001 ### ## ### ## ### ## ### ## ### ## # # # . # # #  1 ##
003   001 001  5 001  5 001  5 001  5 ### ##   001 ### ## ### ## ### ## ### ## ### ## # # # . # # #  1 ##
003   001 001  5 001  5 001  5 001  5 001  5   001 ### ## ### ## ### ## ### ## ### ## # # # . # # #  1 ##
003   001 001  5 001  5 001  5 001  5 001  5   001 001  5 ### ## ### ## ### ## ### ## # # # . # # #  1 ##
003   001 001  5 001  5 001  5 001  5 001  5   001 001  5 001  5 ### ## ### ## ### ## # # # . # # #  1 ##
003   001 001  5 001  5 001  5 001  5 001  5   001 001  5 001  5 001  5 ### ## ### ## # # # . # # #  1 ##
003   001 001  5 001  5 001  5 001  5 001  5   001 001  5 001  5 001  5 001  5 ### ## # # # . # # #  1 ##
003   001 001  5 001  5 001  5 001  5 001  5   001 001  5 001  5 001  5 001  5 001  5 # # # . # # #  1 ##
003   001 001  5 001  5 001  5 001  5 001  5   002 001  5 001  5 001  5 001  5 001  5 # # # . # # #  1 ##
003   002 001  5 001  5 001  5 001  5 001  5   002 001  5 001  5 001  5 001  5 001  5 # # # . # # #  1 ##
003   002 001  5 001  5 001  5 001  5 001  5   002 002  5 001  5 001  5 001  5 001  5 # # # . # # #  1 ##
003   002 001  5 001  5 001  5 001  5 001  5   002 003  5 001  5 001  5 001  5 001  5 # # # . 0 # #  1 ##
003   002 001  5 001  5 001  5 001  5 001  5   002 003  5 002  5 001  5 001  5 001  5 # # # . 0 # #  1 ##
003   002 001  5 001  5 001  5 001  5 001  5   002 003  5 003  5 001  5 001  5 001  5 # # # . 0 1 #  1 ##
003   002 001  5 001  5 001  5 001  5 001  5   002 003  5 003  5 002  5 001  5 001  5 # # # . 0 1 #  1 ##
003   002 001  5 001  5 001  5 001  5 001  5   002 003  5 003  5 003  5 001  5 001  5 # # # . 0 1 2  1 ##
